timestamp_utc,forecast_mw
2026-06-08T00:00:00Z,40909.02
2026-06-08T01:00:00Z,43949.49
2026-06-08T02:00:00Z,48380.64
2026-06-08T03:00:00Z,51233.94
2026-06-08T04:00:00Z,51546.62
2026-06-08T05:00:00Z,51144.94
2026-06-08T06:00:00Z,51225.24
2026-06-08T07:00:00Z,51025.67
2026-06-08T08:00:00Z,50423.55
2026-06-08T09:00:00Z,49940.13
2026-06-08T10:00:00Z,49423.96
2026-06-08T11:00:00Z,48611.1
2026-06-08T12:00:00Z,48375.41
2026-06-08T13:00:00Z,48860.22
2026-06-08T14:00:00Z,49450.43
2026-06-08T15:00:00Z,50081.99
2026-06-08T16:00:00Z,49551.19
2026-06-08T17:00:00Z,48402.95
2026-06-08T18:00:00Z,46682.91
2026-06-08T19:00:00Z,45477.82
2026-06-08T20:00:00Z,44163.53
2026-06-08T21:00:00Z,42823.04
2026-06-08T22:00:00Z,42731.26
2026-06-08T23:00:00Z,44105.56
