timestamp_utc,forecast_mw
2026-06-08T00:00:00Z,52753.34
2026-06-08T01:00:00Z,56433.45
2026-06-08T02:00:00Z,58685.22
2026-06-08T03:00:00Z,58322.03
2026-06-08T04:00:00Z,57574.98
2026-06-08T05:00:00Z,57184.91
2026-06-08T06:00:00Z,56428.16
2026-06-08T07:00:00Z,55271.77
2026-06-08T08:00:00Z,53400.15
2026-06-08T09:00:00Z,52596.58
2026-06-08T10:00:00Z,51808.18
2026-06-08T11:00:00Z,52351.61
2026-06-08T12:00:00Z,53047.39
2026-06-08T13:00:00Z,53312.47
2026-06-08T14:00:00Z,52509.66
2026-06-08T15:00:00Z,51202.75
2026-06-08T16:00:00Z,48537.61
2026-06-08T17:00:00Z,45782.31
2026-06-08T18:00:00Z,43284.24
2026-06-08T19:00:00Z,41749.72
2026-06-08T20:00:00Z,40741.52
2026-06-08T21:00:00Z,40804.19
2026-06-08T22:00:00Z,41814.5
2026-06-08T23:00:00Z,44383.79
