date,mae_syntaxerror,rmse_syntaxerror,mae_entsoe,rmse_entsoe
2026-06-08,2448.9506339583336,2653.202587545152,2275.29289109375,2615.187051868251
2026-06-09,2766.3824905208335,3366.4841238174367,1404.8717264270836,1798.982877716768
2026-06-10,952.9895509374995,1245.4240521871423,886.3733242083332,1128.4076884978915
2026-06-11,2954.418002604168,4266.026104335811,4270.383337395833,6290.780747094148
2026-06-12,3180.0680394791657,3669.910189718471,1078.8515951770826,1380.1508547806766
2026-06-15,1590.3061901041672,1798.8853249805559,3564.1959636875,3883.3021755250566
2026-06-16,4113.0055143750005,4785.421693594137,1874.1672775729166,2418.1472039549767
2026-06-17,3500.5117957291673,4430.099325809719,1972.8818921458344,2359.0156828229974
