lgbm_weight,mae_mean,mae_2026-06-18,mae_2026-06-19,mae_2026-06-20
0.0,1318.9628222569445,1671.9361334374998,968.9657336458337,1315.9865996874998
0.1,1296.4596972569439,1600.8722167708322,986.942150312498,1301.5647246875014
0.2,1273.9565722569425,1529.8083001041632,1004.9185669791644,1287.1428496874998
0.3,1252.6737086458352,1458.7443834375044,1026.5557678125035,1272.7209746874978
0.4,1234.3121688541669,1393.149555729167,1051.4878511458337,1258.2990996874996
0.5,1216.8404605208334,1330.224222395833,1076.4199344791668,1243.8772246875003
0.6,1199.8583824652778,1268.767779895833,1101.3520178125011,1229.4553496874994
0.7,1187.5676766319446,1219.1306173958337,1128.5389378125003,1215.0334746874996
0.8,1186.1841128819442,1201.7686344791664,1156.1721044791666,1200.6115996874994
0.9,1184.8417101041662,1184.530134479166,1183.8052711458338,1186.189724687499
1.0,1188.2694364236113,1181.6020217708335,1211.4384378125005,1171.7678496874998
