timestamp_utc,forecast_mw
2026-06-06T00:00:00Z,57690.6
2026-06-06T01:00:00Z,56307.54
2026-06-06T02:00:00Z,55383.57
2026-06-06T03:00:00Z,55113.65
2026-06-06T04:00:00Z,55767.09
2026-06-06T05:00:00Z,56410.93
2026-06-06T06:00:00Z,57124.87
2026-06-06T07:00:00Z,55701.43
2026-06-06T08:00:00Z,53372.37
2026-06-06T09:00:00Z,50629.88
2026-06-06T10:00:00Z,47537.48
2026-06-06T11:00:00Z,44810.12
2026-06-06T12:00:00Z,43018.71
2026-06-06T13:00:00Z,41874.51
2026-06-06T14:00:00Z,41902.28
2026-06-06T15:00:00Z,43351.47
2026-06-06T16:00:00Z,46691.95
2026-06-06T17:00:00Z,53907.17
2026-06-06T18:00:00Z,58216.46
2026-06-06T19:00:00Z,59601.72
2026-06-06T20:00:00Z,59628.62
2026-06-06T21:00:00Z,59420.1
2026-06-06T22:00:00Z,59301.28
2026-06-06T23:00:00Z,58276.33
