timestamp_utc,forecast_mw
2026-06-06T00:00:00Z,55948.93
2026-06-06T01:00:00Z,54705.03
2026-06-06T02:00:00Z,54281.56
2026-06-06T03:00:00Z,53985.92
2026-06-06T04:00:00Z,54794.89
2026-06-06T05:00:00Z,55897.19
2026-06-06T06:00:00Z,56027.1
2026-06-06T07:00:00Z,54687.3
2026-06-06T08:00:00Z,52691.12
2026-06-06T09:00:00Z,49798.07
2026-06-06T10:00:00Z,46612.57
2026-06-06T11:00:00Z,44349.06
2026-06-06T12:00:00Z,42711.81
2026-06-06T13:00:00Z,41670.83
2026-06-06T14:00:00Z,41536.75
2026-06-06T15:00:00Z,42466.98
2026-06-06T16:00:00Z,45240.05
2026-06-06T17:00:00Z,51631.27
2026-06-06T18:00:00Z,56477.37
2026-06-06T19:00:00Z,58453.69
2026-06-06T20:00:00Z,58162.45
2026-06-06T21:00:00Z,57564.59
2026-06-06T22:00:00Z,57349.03
2026-06-06T23:00:00Z,56572.8
