timestamp_utc,forecast_mw
2026-06-05T00:00:00Z,55682.94
2026-06-05T01:00:00Z,54507.5
2026-06-05T02:00:00Z,53934.4
2026-06-05T03:00:00Z,53535.54
2026-06-05T04:00:00Z,54182.99
2026-06-05T05:00:00Z,54498.89
2026-06-05T06:00:00Z,54645.99
2026-06-05T07:00:00Z,53408.57
2026-06-05T08:00:00Z,51391.0
2026-06-05T09:00:00Z,48968.86
2026-06-05T10:00:00Z,46230.06
2026-06-05T11:00:00Z,43351.31
2026-06-05T12:00:00Z,41508.46
2026-06-05T13:00:00Z,40630.29
2026-06-05T14:00:00Z,40173.6
2026-06-05T15:00:00Z,40690.69
2026-06-05T16:00:00Z,43171.63
2026-06-05T17:00:00Z,48096.56
2026-06-05T18:00:00Z,53903.65
2026-06-05T19:00:00Z,57605.17
2026-06-05T20:00:00Z,58701.19
2026-06-05T21:00:00Z,59014.64
2026-06-05T22:00:00Z,59013.7
2026-06-05T23:00:00Z,57906.81
