timestamp_utc,forecast_mw
2026-06-05T00:00:00Z,54568.0
2026-06-05T01:00:00Z,53460.57
2026-06-05T02:00:00Z,52909.46
2026-06-05T03:00:00Z,51882.99
2026-06-05T04:00:00Z,52313.95
2026-06-05T05:00:00Z,52872.62
2026-06-05T06:00:00Z,52794.81
2026-06-05T07:00:00Z,51805.44
2026-06-05T08:00:00Z,50196.54
2026-06-05T09:00:00Z,47878.38
2026-06-05T10:00:00Z,45093.66
2026-06-05T11:00:00Z,42556.93
2026-06-05T12:00:00Z,40604.29
2026-06-05T13:00:00Z,39278.58
2026-06-05T14:00:00Z,38963.86
2026-06-05T15:00:00Z,39715.71
2026-06-05T16:00:00Z,42106.51
2026-06-05T17:00:00Z,46417.54
2026-06-05T18:00:00Z,51775.4
2026-06-05T19:00:00Z,55583.4
2026-06-05T20:00:00Z,57400.91
2026-06-05T21:00:00Z,57936.22
2026-06-05T22:00:00Z,58172.03
2026-06-05T23:00:00Z,57605.21
