timestamp_utc,forecast_mw
2026-06-04T00:00:00Z,56429.3
2026-06-04T01:00:00Z,55012.64
2026-06-04T02:00:00Z,53744.6
2026-06-04T03:00:00Z,52938.88
2026-06-04T04:00:00Z,52372.25
2026-06-04T05:00:00Z,51951.29
2026-06-04T06:00:00Z,50800.41
2026-06-04T07:00:00Z,48366.15
2026-06-04T08:00:00Z,47523.03
2026-06-04T09:00:00Z,45987.83
2026-06-04T10:00:00Z,43912.28
2026-06-04T11:00:00Z,42917.2
2026-06-04T12:00:00Z,42605.62
2026-06-04T13:00:00Z,42239.28
2026-06-04T14:00:00Z,43186.38
2026-06-04T15:00:00Z,44714.74
2026-06-04T16:00:00Z,48630.5
2026-06-04T17:00:00Z,52650.42
2026-06-04T18:00:00Z,56047.92
2026-06-04T19:00:00Z,57882.18
2026-06-04T20:00:00Z,58054.03
2026-06-04T21:00:00Z,57913.31
2026-06-04T22:00:00Z,57330.05
2026-06-04T23:00:00Z,55676.62
